id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26038867,✪Villa5 2beds 4m to Dowtown stepsto T w/freeprk✪,25203946,Eder,,Dorchester,42.30969,-71.06207,Private room,65,3,23,2019-10-27,1.04,17,198
26051186,✪2double min to Fenway/D-Town near train freeprkg,25203946,Eder,,Dorchester,42.30945,-71.06168,Private room,59,3,19,2019-10-20,0.85,17,192
26052117,✪Sunny King w/Smartv 4m to City stepsto T freeprk✪,25203946,Eder,,Dorchester,42.31113,-71.06199,Private room,73,3,19,2019-11-03,0.88,17,202
26060933,Sonder | Boston Common | Dashing 2BR,12243051,Sonder,,Chinatown,42.35155,-71.06278,Entire home/apt,129,30,5,2019-12-02,0.62,176,127
26062023,Sonder | Boston Common | Peaceful 2BR,12243051,Sonder,,Downtown,42.35108,-71.06325,Entire home/apt,129,30,21,2019-12-31,0.99,176,139
26065119,Historic Brownstone Studio in Fenway/Kenmore,193253036,Eric,,Fenway,42.35098,-71.0966,Entire home/apt,130,91,6,2018-07-24,0.27,1,0
26066073,✪Spacious King mins to train Fenway/D-Town freeprk,25203946,Eder,,Dorchester,42.31081,-71.06179,Private room,60,3,25,2019-11-03,1.13,17,205
26066238,✪Double min fromFenway/D-Town steps 2train freeprk,25203946,Eder,,Dorchester,42.31106,-71.06359,Private room,47,3,13,2019-10-28,0.62,17,198
26102579,Lovely Executive Studio in East Boston,18202088,Luxurious,,East Boston,42.36803,-71.03993,Entire home/apt,186,91,7,2019-04-29,0.36,18,0
26104302,Studio Apartment at East Pier Near Water,18202088,Luxurious,,East Boston,42.36762,-71.04014,Entire home/apt,186,91,1,2019-05-20,0.09,18,0
26104687,Lovely Studio Apartment at East Pier,18202088,Luxurious,,East Boston,42.36611,-71.04082,Entire home/apt,186,91,7,2019-11-04,0.51,18,0
26105250,Studio Apartment at East Boston Pier Near Water,18202088,Luxurious,,East Boston,42.36698,-71.04061,Entire home/apt,186,91,7,2019-09-18,0.34,18,0
26105589,Accessible Studio Just Miles From Logan Airport,18202088,Luxurious,,East Boston,42.36773,-71.04123,Entire home/apt,186,91,2,2018-09-02,0.10,18,0
26108847,Cozy Studio Apartment at East Pier EB117,18202088,Luxurious,,East Boston,42.36741,-71.04162,Entire home/apt,186,91,4,2019-08-17,0.34,18,0
26109078,Executive Studio in East Boston,18202088,Luxurious,,East Boston,42.36631,-71.04109,Entire home/apt,186,91,5,2019-12-08,0.39,18,89
26109200,Lovely Executive Studio in East Boston EB2-29,18202088,Luxurious,,East Boston,42.36833,-71.04153,Entire home/apt,186,91,4,2019-06-15,0.32,18,0
26109264,Beautiful Executive Studio in East Boston EB2-31,18202088,Luxurious,,East Boston,42.36823,-71.04193,Entire home/apt,186,91,0,,,18,0
26127318,RIVER AND CITY VIEWS! Walk Everywhere.  LOCATION!,9529655,Suzanne,,Fenway,42.35079,-71.09388,Entire home/apt,235,91,1,2018-08-15,0.05,4,362
26130154,"Spacious Boston Bedroom, Free Parking, next to T!",196415169,Josh,,Mission Hill,42.32803,-71.10666,Private room,50,1,44,2020-02-23,2.08,1,0
26130187,"North End One bedroom, Freedom Trail 1 min walk",38997,Michelle,,North End,42.36452,-71.05414,Entire home/apt,73,91,1,2019-06-01,0.09,9,365
26131758,Nice Executive Studio in East Boston EB2-33,18202088,Luxurious,,East Boston,42.36772,-71.04121,Entire home/apt,186,91,0,,,18,0
26132354,Wonderful Studio In East Boston EB2-37,18202088,Luxurious,,East Boston,42.36843,-71.04131,Entire home/apt,186,91,0,,,18,0
26132566,Cozy Studio In East Boston EB2-39,18202088,Luxurious,,East Boston,42.36791,-71.04008,Entire home/apt,186,91,1,2019-10-20,0.17,18,0
26138090,Comfortable room in Dorchester (#1),188413439,Hilson,,Dorchester,42.3065,-71.06666,Private room,65,1,57,2020-02-29,2.65,4,337
26160905,"PRIVATE,COZY, CLEAN-1 BEDROOM APT",196631266,Nakeisha,,Dorchester,42.28954,-71.07624,Entire home/apt,125,1,95,2020-01-13,4.32,2,344
26163695,Bina’s Home away from Home 3,153568352,Sabina & Frederick,,Mattapan,42.27869,-71.08685,Private room,80,1,65,2019-10-29,3.29,5,192
